datasetID,variables
EMSO-AZORES_TCM3-1_2016-2017,DEPH_QC
EMSO-AZORES_TCM3-1_2016-2017,HCSP
EMSO-AZORES_TCM3-1_2016-2017,HCSP_QC
EMSO-AZORES_TCM3-1_2016-2017,HCDT
EMSO-AZORES_TCM3-1_2016-2017,HCDT_QC
EMSO-AZORES_TCM3-1_2016-2017,NSCT
EMSO-AZORES_TCM3-1_2016-2017,NSCT_QC
EMSO-AZORES_TCM3-1_2016-2017,EWCT
EMSO-AZORES_TCM3-1_2016-2017,EWCT_QC
EMSO-AZORES_TCM3-1_2016-2017,TEMP
EMSO-AZORES_TCM3-1_2016-2017,TEMP_QC
EMSO-AZORES_TCM3-1_2017-2018,latitude
EMSO-AZORES_TCM3-1_2017-2018,longitude
EMSO-AZORES_TCM3-1_2017-2018,depth
EMSO-AZORES_TCM3-1_2017-2018,rowSize
EMSO-AZORES_TCM3-1_2017-2018,time
EMSO-AZORES_TCM3-1_2017-2018,TIME_QC
EMSO-AZORES_TCM3-1_2017-2018,DEPH_QC
EMSO-AZORES_TCM3-1_2017-2018,HCSP
EMSO-AZORES_TCM3-1_2017-2018,HCSP_QC
EMSO-AZORES_TCM3-1_2017-2018,HCDT
EMSO-AZORES_TCM3-1_2017-2018,HCDT_QC
EMSO-AZORES_TCM3-1_2017-2018,NSCT
EMSO-AZORES_TCM3-1_2017-2018,NSCT_QC
EMSO-AZORES_TCM3-1_2017-2018,EWCT
EMSO-AZORES_TCM3-1_2017-2018,EWCT_QC
EMSO-AZORES_TCM3-1_2017-2018,TEMP
EMSO-AZORES_TCM3-1_2017-2018,TEMP_QC
EMSO-AZORES_TCM3-1_2018-2019,latitude
EMSO-AZORES_TCM3-1_2018-2019,longitude
EMSO-AZORES_TCM3-1_2018-2019,depth
EMSO-AZORES_TCM3-1_2018-2019,rowSize
EMSO-AZORES_TCM3-1_2018-2019,time
EMSO-AZORES_TCM3-1_2018-2019,TIME_QC
EMSO-AZORES_TCM3-1_2018-2019,DEPH_QC
EMSO-AZORES_TCM3-1_2018-2019,HCSP
EMSO-AZORES_TCM3-1_2018-2019,HCSP_QC
EMSO-AZORES_TCM3-1_2018-2019,HCDT
EMSO-AZORES_TCM3-1_2018-2019,HCDT_QC
EMSO-AZORES_TCM3-1_2018-2019,NSCT
EMSO-AZORES_TCM3-1_2018-2019,NSCT_QC
EMSO-AZORES_TCM3-1_2018-2019,EWCT
EMSO-AZORES_TCM3-1_2018-2019,EWCT_QC
EMSO-AZORES_TCM3-1_2018-2019,TEMP
EMSO-AZORES_TCM3-1_2018-2019,TEMP_QC
EMSO-AZORES_TCM3-1_2021-2022,latitude
EMSO-AZORES_TCM3-1_2021-2022,longitude
EMSO-AZORES_TCM3-1_2021-2022,depth
EMSO-AZORES_TCM3-1_2021-2022,rowSize
EMSO-AZORES_TCM3-1_2021-2022,time
EMSO-AZORES_TCM3-1_2021-2022,TIME_QC
EMSO-AZORES_TCM3-1_2021-2022,DEPH_QC
EMSO-AZORES_TCM3-1_2021-2022,HCSP
EMSO-AZORES_TCM3-1_2021-2022,HCSP_QC
EMSO-AZORES_TCM3-1_2021-2022,HCDT
EMSO-AZORES_TCM3-1_2021-2022,HCDT_QC
EMSO-AZORES_TCM3-1_2021-2022,NSCT
EMSO-AZORES_TCM3-1_2021-2022,NSCT_QC
EMSO-AZORES_TCM3-1_2021-2022,EWCT
EMSO-AZORES_TCM3-1_2021-2022,EWCT_QC
EMSO-AZORES_TCM3-1_2021-2022,TEMP
EMSO-AZORES_TCM3-1_2021-2022,TEMP_QC
EMSO-AZORES_TCM3-2_2017-2018,latitude
EMSO-AZORES_TCM3-2_2017-2018,longitude
EMSO-AZORES_TCM3-2_2017-2018,depth
EMSO-AZORES_TCM3-2_2017-2018,rowSize
EMSO-AZORES_TCM3-2_2017-2018,time
